Cidade;Estado;UF;Frete Mínimo;Frete One;Frete Two;Frete Three;Deadline;Transportadora
São Francisco de Sales;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
São Francisco do Glória;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
São Geraldo;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
São Geraldo da Piedade;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São Geraldo do Baixio;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São Gonçalo do Abaeté;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
São Gonçalo do Pará;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São Gonçalo do Rio Abaixo;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São Gonçalo do Sapucaí;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São Gotardo;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
São João Batista do Glória;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
São João da Lagoa;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
São João da Mata;Minas Gerais;MG;700;5;5;5;12;E4LOG SOLUCOES LOGISTICAS LTDA
São João da Ponte;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
São João das Missões;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
São João del Rei;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São João do Manhuaçu;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
São João do Manteninha;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São João do Oriente;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São João do Pacuí;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
São João do Paraíso;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
São João Evangelista;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
São João Nepomuceno;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
São Joaquim de Bicas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São José da Barra;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São José da Lapa;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São José da Safira;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São José da Varginha;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São José do Alegre;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São José do Divino;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São José do Goiabal;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São José do Jacuri;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
São José do Mantimento;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
São Lourenço;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São Miguel do Anta;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São Pedro da União;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São Pedro dos Ferros;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
São Pedro do Suaçuí;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
São Romão;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
São Roque de Minas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São Sebastião da Bela Vista;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
São Sebastião da Vargem Alegre;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
